metrics,AllSeasons,Season5,Season6,Season7,Team
Matches Played,66,18,25,23,U.P. Yoddha
wins,28,10,10,8,U.P. Yoddha
draws,10,2,4,4,U.P. Yoddha
losses,28,6,11,11,U.P. Yoddha
Finishing Position,-,4,3,3,U.P. Yoddha
highest score,"53
vs","42
vs","47
vs","53
vs",U.P. Yoddha
Biggest Winning Margin,"29




16

vs


45","20




42

vs


22","16




31

vs


47","29




16

vs


45",U.P. Yoddha
Total Raids,2827,757,1068,1002,U.P. Yoddha
Successful Raids,938,223,357,358,U.P. Yoddha
unsuccessful raid,654,178,255,221,U.P. Yoddha
empty raids,1235,356,456,423,U.P. Yoddha
success raid %,42%,38%,42%,46%,U.P. Yoddha
no. of super raids,38,5,10,23,U.P. Yoddha
raid touch points,884,219,318,347,U.P. Yoddha
raid bonus points,315,70,131,114,U.P. Yoddha
total raid points,1199,289,449,461,U.P. Yoddha
total tackles,1560,415,594,551,U.P. Yoddha
successful tackles,600,177,240,183,U.P. Yoddha
unsuccesful tackles,960,238,354,368,U.P. Yoddha
successful tackle %,42%,46%,45%,36%,U.P. Yoddha
no. of super tackles,62,16,27,19,U.P. Yoddha
all outs inflicted,70,21,26,23,U.P. Yoddha
total all out points,140,42,52,46,U.P. Yoddha
total defence points,658,192,265,201,U.P. Yoddha
